,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Philippinen,Philippinen,LOC,-0.16177929,0.10837229,de,235.30000000,,-1,,,,,,
Jamaika,Jamaika,LOC,-0.27747659,0.09117792,de,202.90000000,,-1,,,,,,
Vietnam,Vietnam,LOC,-0.02535697,0.07139340,de,67.70000000,,-1,,,,,,
Kuba,Kuba,LOC,-0.24242424,0.03496503,de,57.20000000,,-1,,,,,,
Südostasien,Südostasien,LOC,-0.07497858,0.14138817,de,38.90000000,,-1,,,,,,
Karibik,Karibik,LOC,-0.25022222,0.18666667,de,37.50000000,,-1,,,,,,
Wirbelsturm,Wirbelsturm,LOC,-0.21643519,0.05787037,de,28.80000000,,-1,,,,,,
Haiti,Haiti,LOC,-0.17783094,0.00000000,de,20.90000000,,-1,,,,,,
Karibikinsel,Karibikinsel,LOC,-0.26861702,0.15957447,de,18.80000000,,-1,,,,,,
USA,USA,LOC,0.15243902,0.09146341,de,16.40000000,,-1,,,,,,
Bahamas,Bahamas,LOC,-0.92253521,0.00000000,de,14.20000000,,-1,,,,,,
Land,Land,LOC,-0.02400000,0.00000000,de,12.50000000,,-1,,,,,,
Bermuda,Bermuda,LOC,-0.33333333,0.00000000,de,10.80000000,,-1,,,,,,
…,…,LOC,-0.14901961,0.03921569,de,8.50000000,,-1,,,,,,
Taiwan,Taiwan,LOC,-0.25000000,0.00000000,de,8.40000000,,-1,,,,,,
Sri Lanka,Sri Lanka,LOC,-0.26829268,0.06097561,de,8.20000000,,-1,,,,,,
Atlantik,Atlantik,LOC,-1.04329004,0.12987013,de,7.70000000,,-1,,,,,,
Madagaskar,Madagaskar,LOC,-0.17808219,0.00000000,de,7.30000000,,-1,,,,,,
Karibikstaat,Karibikstaat,LOC,0.70000000,0.00000000,de,7.00000000,,-1,,,,,,
Starkregen,Starkregen,LOC,0.00000000,0.00000000,de,6.70000000,,-1,,,,,,
Stundenkilometern,Stundenkilometern,LOC,-0.59701493,0.22388060,de,6.70000000,,-1,,,,,,
Behördenangaben,Behördenangaben,LOC,-0.85101010,0.12626263,de,6.60000000,,-1,,,,,,
Indonesien,Indonesien,LOC,-0.50781250,0.15625000,de,6.40000000,,-1,,,,,,
Pazifik,Pazifik,LOC,-0.32812500,0.00000000,de,6.40000000,,-1,,,,,,
Kingston,Kingston,LOC,-0.11864407,0.00000000,de,5.90000000,,-1,,,,,,
Hurrikan,Hurrikan,LOC,-0.16949153,0.00000000,de,5.90000000,,-1,,,,,,
Jamaikas,Jamaikas,LOC,0.00000000,0.00000000,de,5.90000000,,-1,,,,,,
Melissa,Melissa,LOC,-0.96610169,0.00000000,de,5.90000000,,-1,,,,,,
Böen,Böen,LOC,-0.24561404,0.17543860,de,5.70000000,,-1,,,,,,
Thailand,Thailand,LOC,0.49122807,0.00000000,de,5.70000000,,-1,,,,,,
Sturm,Sturm,LOC,0.00000000,0.17543860,de,5.70000000,,-1,,,,,,
Sturmböen,Sturmböen,LOC,0.00000000,0.00000000,de,5.70000000,,-1,,,,,,
Brasiliens,Brasiliens,LOC,-0.36904762,0.32738095,de,5.60000000,,-1,,,,,,
US-Präsident,US-Präsident,LOC,0.18181818,0.18181818,de,5.50000000,,-1,,,,,,
Notunterkünften,Notunterkünften,LOC,0.00000000,0.00000000,de,5.00000000,,-1,,,,,,
Hurrikan-Katastrophe,Hurrikan-Katastrophe,LOC,0.00000000,0.40000000,de,5.00000000,,-1,,,,,,
Regierungsangaben,Regierungsangaben,LOC,0.00000000,0.00000000,de,4.90000000,,-1,,,,,,
Tropensturm,Tropensturm,LOC,0.14893617,0.21276596,de,4.70000000,,-1,,,,,,
Krisha,Krisha,LOC,-0.21739130,0.00000000,de,4.60000000,,-1,,,,,,
