,phrase,label,sentiment,subjectivity,language,count
"Link
","Link
",MISC,,,de,48.39999999999997
Hurrikan Melissa,Hurrikan Melissa,MISC,-12.100000000000001,8.0,de,36.499999999999986
“,“,MISC,-3.078947368421053,0.5263157894736842,de,27.299999999999994
Hurrikan,Hurrikan,MISC,-0.6186440677966101,0.423728813559322,de,26.599999999999987
Zahl der Toten,Zahl der Toten,MISC,,,de,10.300000000000002
Tornado,Tornado,MISC,,,de,9.3
Gefährlicher Wirbelsturm,Gefährlicher Wirbelsturm,MISC,,,de,8.9
Schwerer Taifun,Schwerer Taifun,MISC,,,de,6.7
Fung-Wong“,Fung-Wong“,MISC,,,de,5.9
O…,O…,MISC,,,de,4.7
Super-Taifun,Super-Taifun,MISC,,,de,4.0
Gefährlicher Wirbelsturm“,Gefährlicher Wirbelsturm“,MISC,,,de,4.0
Kalmaegi“,Kalmaegi“,MISC,,,de,4.0
sozialistischen,sozialistischen,MISC,,,de,3.9
Chaos auf den Philippinen,Chaos auf den Philippinen,MISC,,,de,3.9
Tropischer Wirbelsturm“,Tropischer Wirbelsturm“,MISC,,,de,3.9
S…,S…,MISC,,,de,3.8
stern+statt,stern+statt,MISC,,,de,3.8
stern+,stern+,MISC,,,de,3.8
Capital</li><li>4,Capital</li><li>4,MISC,,,de,3.8
Sturm,Sturm,MISC,-0.11403508771929824,0.08771929824561403,de,3.6999999999999997
Fung Wong“,Fung Wong“,MISC,,,de,3.0
philippinischen,philippinischen,MISC,,,de,3.0
jamaikanische,jamaikanische,MISC,,,de,3.0
Melissa,Melissa,MISC,-0.1694915254237288,0.0,de,3.0
Taifun,Taifun,MISC,0.0,0.0,de,2.9
Fina“,Fina“,MISC,,,de,2.8
Taifun Kalmaegi,Taifun Kalmaegi,MISC,,,de,2.8
Google,Google,MISC,,,de,2.4
Taifun in diesem Jahr,Taifun in diesem Jahr,MISC,,,de,2.0
Premier Holness,Premier Holness,MISC,,,de,2.0
28.10.2025,28.10.2025,MISC,,,de,2.0
…,…,MISC,0.0,0.0,de,2.0
Tödlicher Wirbelsturm“,Tödlicher Wirbelsturm“,MISC,,,de,2.0
Windgeschwin…,Windgeschwin…,MISC,,,de,2.0
kubanischen,kubanischen,MISC,,,de,2.0
Außenwelt,Außenwelt,MISC,,,de,2.0
Vietnam,Vietnam,MISC,0.0,0.0,de,2.0
Hurrikan des Jahres,Hurrikan des Jahres,MISC,,,de,1.9
Tages,Tages,MISC,,,de,1.9
RMS,RMS,MISC,,,de,1.9
Taifun-Saison,Taifun-Saison,MISC,,,de,1.9
Todesopfer,Todesopfer,MISC,,,de,1.9
britischen,britischen,MISC,,,de,1.9
"Todesopfer des Hurrikans ""Melissa","Todesopfer des Hurrikans ""Melissa",MISC,,,de,1.9
Wirbelsturm“,Wirbelsturm“,MISC,,,de,1.9
Exercise Increased Caution,Exercise Increased Caution,MISC,,,de,1.9
Warnstufe 2,Warnstufe 2,MISC,,,de,1.9
indonesischen,indonesischen,MISC,,,de,1.9
ePaper,ePaper,MISC,,,de,1.8
KI-Training,KI-Training,MISC,,,de,1.7
Casualty-Reserven,Casualty-Reserven,MISC,,,de,1.3
Extremwetter-Ereignisse,Extremwetter-Ereignisse,MISC,,,de,1.1
s…,s…,MISC,0.0,0.0,de,1.0
Todesopfer auf mindestens 40,Todesopfer auf mindestens 40,MISC,,,de,1.0
09.11.2025,09.11.2025,MISC,,,de,1.0
Windgeschwindi…,Windgeschwindi…,MISC,,,de,1.0
Inselst…,Inselst…,MISC,,,de,1.0
Inse…,Inse…,MISC,,,de,1.0
Urlaub auf Jamaika,Urlaub auf Jamaika,MISC,,,de,1.0
römisch-katholischen,römisch-katholischen,MISC,,,de,1.0
Deutschen,Deutschen,MISC,,,de,1.0
Nächster Taifun,Nächster Taifun,MISC,,,de,1.0
Taifun auf den Philippinen,Taifun auf den Philippinen,MISC,,,de,1.0
Katastrophenschutzbehörde…,Katastrophenschutzbehörde…,MISC,,,de,1.0
Moody,Moody,MISC,,,de,1.0
Cebu i…,Cebu i…,MISC,,,de,1.0
Katastrophensch…,Katastrophensch…,MISC,,,de,1.0
Katastrophens…,Katastrophens…,MISC,,,de,1.0
irische,irische,MISC,,,de,1.0
Ein gewaltiger Taifun,Ein gewaltiger Taifun,MISC,,,de,1.0
Pagasa abgesc,Pagasa abgesc,MISC,,,de,1.0
Die Zahl der Toten,Die Zahl der Toten,MISC,,,de,1.0
Supertaifun,Supertaifun,MISC,0.0,0.0,de,1.0
sozialistische,sozialistische,MISC,,,de,1.0
Taifun auf Philippinen,Taifun auf Philippinen,MISC,,,de,1.0
Der Risikomodellierer Moodys,Der Risikomodellierer Moodys,MISC,,,de,1.0
Todesopfer auf 188,Todesopfer auf 188,MISC,,,de,1.0
Moody’s,Moody’s,MISC,,,de,1.0
Todesopf…,Todesopf…,MISC,,,de,1.0
Bualoi“,Bualoi“,MISC,,,de,1.0
TaifunKalmaegi ,TaifunKalmaegi ,MISC,,,de,1.0
Turner-Preis,Turner-Preis,MISC,,,de,1.0
WM-Gold,WM-Gold,MISC,,,de,1.0
südlic…,südlic…,MISC,,,de,1.0
Tragödie im Inselstaat,Tragödie im Inselstaat,MISC,,,de,1.0
Urlau…,Urlau…,MISC,,,de,1.0
"Ein Wirbelsturm aus tausend Emotionen
Krisha","Ein Wirbelsturm aus tausend Emotionen
Krisha",MISC,,,de,1.0
Ach ja,Ach ja,MISC,,,de,1.0
Millionen Mensc,Millionen Mensc,MISC,,,de,1.0
Katastrophe,Katastrophe,MISC,,,de,1.0
Senyar“,Senyar“,MISC,,,de,1.0
Rai,Rai,MISC,,,de,1.0
Jamaikas,Jamaikas,MISC,0.0,0.0,de,1.0
Starkregen sucht den Nordwesten der USA,Starkregen sucht den Nordwesten der USA,MISC,,,de,1.0
Umstrittenes KI-Training,Umstrittenes KI-Training,MISC,,,de,1.0
KI WELT“,KI WELT“,MISC,,,de,1.0
Engine AI,Engine AI,MISC,,,de,1.0
Hurrikan Sandy,Hurrikan Sandy,MISC,,,de,1.0
Reich der Finsternis,Reich der Finsternis,MISC,,,de,1.0
Rückversicherungsrenewals,Rückversicherungsrenewals,MISC,,,de,1.0
die fetten drei Jahre 2023,die fetten drei Jahre 2023,MISC,,,de,1.0
Periode n,Periode n,MISC,,,de,1.0
Usain Bolt,Usain Bolt,MISC,,,de,1.0
australischen,australischen,MISC,,,de,1.0
Sturm…,Sturm…,MISC,,,de,1.0
"Taifun ""Fung-wong","Taifun ""Fung-wong",MISC,,,de,1.0
Alarm auf den Philippinen,Alarm auf den Philippinen,MISC,,,de,1.0
Manila,Manila,MISC,0.0,0.0,de,1.0
Der Supertaifun «Fung-Wong,Der Supertaifun «Fung-Wong,MISC,,,de,1.0
Supert…,Supert…,MISC,,,de,1.0
n…,n…,MISC,,,de,1.0
Ein Supertaifun,Ein Supertaifun,MISC,,,de,1.0
"Zwei Tote, Überflutungen","Zwei Tote, Überflutungen",MISC,,,de,1.0
AFP,AFP,MISC,,,de,1.0
Extreme Event Solutions Group,Extreme Event Solutions Group,MISC,,,de,1.0
Philippinische Familie,Philippinische Familie,MISC,,,de,1.0
australischer,australischer,MISC,,,de,1.0
philippinischer,philippinischer,MISC,,,de,1.0
X kursi,X kursi,MISC,,,de,1.0
tagesschau,tagesschau,MISC,,,de,1.0
Anschlags,Anschlags,MISC,,,de,1.0
Jamaika-Überlebende,Jamaika-Überlebende,MISC,,,de,1.0
Euro Ge…,Euro Ge…,MISC,,,de,1.0
