,Hazard,Causes,Impacts,Mitigation,Invalid
2025-09-26,0.0,0.0,0.0,0.0,1.0
2025-09-29,1.0,0.0,0.0,0.0,2.0
2025-09-30,0.0,0.0,0.0,0.0,4.0
2025-10-01,0.0,0.0,0.0,0.0,1.0
2025-10-02,0.0,0.0,0.0,0.0,6.0
2025-10-03,0.0,0.0,0.0,0.0,2.0
2025-10-05,0.0,0.0,0.0,0.0,1.0
2025-10-09,0.0,0.0,0.0,0.0,1.0
2025-10-13,0.0,0.0,0.0,0.0,1.9
2025-10-16,0.0,0.0,0.0,0.0,2.0
2025-10-17,0.0,0.0,0.0,0.0,2.0
2025-10-19,0.0,0.0,0.0,0.0,1.0
2025-10-21,0.0,0.0,0.0,0.0,3.0
2025-10-22,0.0,0.0,0.0,0.0,1.0
2025-10-23,0.0,0.0,0.0,0.0,1.0
2025-10-24,0.0,0.0,0.0,0.0,0.0
2025-10-25,0.0,0.0,0.0,0.0,3.0
2025-10-26,0.0,0.0,0.0,0.0,4.0
2025-10-27,6.7,0.0,0.0,0.0,11.0
2025-10-28,29.9,4.8,7.0,2.0,16.0
2025-10-29,8.600000000000001,1.0,3.6999999999999997,0.0,19.0
2025-10-30,5.7,0.0,3.8,1.0,12.0
2025-10-31,5.8,0.0,1.8,1.8,15.0
2025-11-01,3.8,0.0,2.0,0.0,1.0
2025-11-02,4.8,0.0,2.0,0.0,1.0
2025-11-03,7.6000000000000005,0.0,0.0,0.0,0.0
2025-11-04,13.000000000000002,0.0,0.0,0.0,0.0
2025-11-05,10.200000000000001,0.0,0.9,1.0,0.0
2025-11-06,6.5,2.0,0.0,0.0,0.0
2025-11-07,11.400000000000002,0.0,1.0,0.0,0.0
2025-11-08,7.300000000000001,0.0,0.9,0.0,0.9
2025-11-09,28.6,0.0,1.8,0.0,0.0
2025-11-10,13.900000000000002,1.0,0.9,0.0,0.0
2025-11-11,4.5,0.0,0.0,0.0,0.9
2025-11-12,2.7,0.0,0.0,0.0,0.0
2025-11-13,0.9,0.0,0.0,0.0,0.0
2025-11-14,0.9,0.0,0.0,0.0,0.0
2025-11-15,1.8,0.9,0.0,0.0,0.0
2025-11-17,0.9,0.0,0.0,0.0,0.0
2025-11-18,2.7,0.0,0.0,0.0,0.0
2025-11-20,0.9,0.0,0.0,0.0,0.0
2025-11-22,2.7,0.0,0.0,0.0,0.0
2025-11-23,1.8,0.0,0.0,0.0,0.0
2025-11-26,0.9,0.0,0.0,0.0,0.0
2025-11-28,4.5,0.0,0.0,0.0,0.0
2025-11-30,2.7,0.0,0.0,0.0,0.0
2025-12-01,0.9,0.0,0.0,0.0,0.0
2025-12-02,0.9,1.8,0.0,0.0,0.0
2025-12-03,0.9,0.0,0.0,0.0,0.0
2025-12-05,0.9,0.0,0.0,0.0,0.0
2025-12-06,0.9,0.0,0.0,0.0,0.0
2025-12-08,0.9,0.0,0.0,0.0,0.0
2025-12-10,0.0,0.0,0.0,0.0,0.9
2025-12-11,0.9,0.0,0.0,0.0,0.0
2025-12-12,0.0,0.0,0.0,0.0,0.7
2025-12-13,0.8,0.0,0.0,0.0,0.0
2025-12-15,0.7,0.0,0.0,0.0,0.0
2025-12-28,0.9,0.0,0.0,0.0,0.0
2026-01-05,0.9,0.0,0.0,0.0,0.0
2026-01-17,0.9,0.0,0.0,0.0,0.0
